1556,94528.7,24.28,0.01
1731,94933.41,26.49,45.26
981,94933.63,25.9,46.52
1023,94508.23,23.53,52.9
1751,94623.8,26.29,49.53
1122,94678.09,25.21,52.87
1313,94419.48,24.26,55.62
1884,95210.28,27.57,42.36
1561,95046.9,25.73,44.24
1025,94957.01,25.36,48.31
1118,94442.15,24.87,49.38
1114,94791.36,26.25,45.66
1729,95335.02,24.58,53.37
1121,95059.09,27.36,45.97
1155,92628.08,23.9,45.23
1139,94744.21,24.71,59.31
925,94826.16,24.34,59.22
1123,94913.2,27.82,38.99
1793,94802.83,26.72,42.47
1138,94848.92,26.17,45.87
879,93919.53,23.96,53.22
1024,95028.23,29.04,39.32
1933,95306.73,24,53.34
1172,95159.78,24.08,52.02
1140,95262.76,23.47,62.36
1154,94345.8,23.08,59.55
976,95313.56,22.35,56.82
1824,94442.59,25.31,58.17
1727,94694.94,28.19,40.26
923,93623.03,23.57,54.38
1558,95142.91,26.49,44.55
1770,94954.8,24.29,57.19
1750,94317.58,26.33,48
1120,94980.92,25.97,46.79
1732,95098.42,24.34,59.66
977,95068.55,26.14,44.93
1556,94532.51,24.26,0.01
1731,94940.83,26.45,45.29
981,94929.19,25.82,46.65
1751,94623.05,26.13,49.88
1023,94487.66,23.82,51.82
1122,94671.02,25.3,52.79
1313,94417.59,24.42,55.11
1884,95212.18,27.5,42.5
1561,95029.7,25.56,44.66
1025,94941.98,25.13,47.76
1118,94440.66,24.69,49.49
1114,94777.47,25.86,46.13
1729,95329.28,24.7,53.18
1121,95058.72,27.42,46.1
1155,92621.77,23.86,45.45
1139,94735.69,24.75,59.21
925,94833,24.29,59.45
1123,94904.2,27.24,41.45
1793,94793.61,26.6,42.33
1138,94849.64,26.08,45.82
879,93918.59,23.83,51.64
1933,95302.7,24.01,53.12
1024,95026.63,28.92,39.44
1172,95162.26,24.19,51.68
1140,95267.28,23.38,62.78
976,95315.86,22.25,57.16
1154,94336.34,23.07,60.23
1727,94687.58,28.15,40.04
923,93618.08,23.48,51.88
1558,95149.48,26.1,45.65
1770,94951.5,24.3,56.55
1750,94312.57,26.25,48.36
1120,94979.4,26.04,46.67
1824,94438.22,25.46,57.24
1732,95102.86,24.19,59.62
977,95073.88,26.17,44.85
1556,94530.64,24.26,0.01
981,94932.95,25.71,47
1731,94941.22,26.38,45.53
1751,94616.36,26.21,50.62
1023,94491.08,23.71,51.54
1122,94671.83,25.36,52.55
1313,94422.84,24.13,56.15
1884,95214.59,27.71,41.96
1561,95040.78,25.61,44.39
1025,94946.73,25.25,48.45
1118,94431.92,24.76,48.86
1114,94794.26,25.86,46.51
1729,95325.5,24.74,53.05
1121,95058.79,27.46,46.13
1155,92621.08,23.78,45.89
1139,94745.94,24.76,59.44
925,94824.28,24.26,59.83
1793,94799.5,26.63,42.92
1123,94905.55,27.5,40.58
1138,94853.77,26.02,46.1
879,93917.67,23.61,54.79
1024,95025.91,28.96,39.41
1933,95302.66,23.93,53.43
1172,95155.3,24.23,51.62
976,95308.09,22.24,57.49
1140,95263.94,23.22,63.79
1154,94349.59,23.01,59.59
1727,94681.94,28.08,41.47
923,93607.38,23.39,53.99
1558,95150.16,26.06,45.79
1770,94956.16,24.47,56.74
1120,94984.09,25.98,46.67
1750,94309.73,26.18,48.75
1732,95088.75,23.99,59.48
977,95066.14,26.15,44.95
1556,94534.09,24.07,0.01
1824,94438.7,25.75,56.89
981,94928.55,25.71,46.89
1751,94630.75,26.29,50.22
1731,94940.64,26.59,45.16
1023,94492.4,23.49,52.8
1122,94674.31,24.94,53.97
1313,94424.17,24.16,56.26
1884,95211.4,27.71,41.91
1561,95032.83,25.56,44.76
1025,94953.09,24.92,49.44
1118,94435.41,24.71,49.39
1114,94782.66,25.69,46.67
1729,95318.88,24.62,53.73
1121,95054.7,27.47,46.48
1155,92614.06,23.74,44.84
1139,94739.01,24.74,59.73
925,94824.11,24.25,60.06
1793,94790.27,26.55,43.06
1123,94906.66,27.25,41.14
1138,94855.05,25.91,45.39
879,93925.91,23.56,53.94
1933,95304.16,23.88,53.49
1024,95022.84,28.88,39.67
1172,95156.66,24.28,51.39
976,95302.38,22.12,58.15
1140,95260.13,23.27,62.17
1154,94348.78,22.97,59.73
923,93610.84,23.36,51.18
1558,95147.13,26.25,45.15
1727,94682.27,28.11,40.83
1770,94958.09,24.35,56.96
